Girona-Rayo Vallecano,Villarreal-Oviedo,Mallorca-Barcelona,Alaves-Levante,Valencia-Sociedad,Celta-Getafe,Bilbao-Sevilla,Espanyol-Atletico,Elche-Betis,Real Madrid-Osasuna
Betis-Alaves,Mallorca-Celta,Atletico-Elche,Levante-Barcelona,Osasuna-Valencia,Sociedad-Espanyol,Villarreal-Girona,Oviedo-Real Madrid,Bilbao-Rayo Vallecano,Sevilla-Getafe
Elche-Levante,Valencia-Getafe,Alaves-Atletico,Oviedo-Sociedad,Girona-Sevilla,Real Madrid-Mallorca,Celta-Villarreal,Betis-Bilbao,Espanyol-Osasuna,Rayo Vallecano-Barcelona
Sevilla-Elche,Getafe-Oviedo,Sociedad-Real Madrid,Bilbao-Alaves,Atletico-Villarreal,Celta-Girona,Levante-Betis,Osasuna-Rayo Vallecano,Barcelona-Valencia,Espanyol-Mallorca
x,x,x,x,x,x,x,x,x,x
Celta-Betis,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x
