Rennes-Marseille,Lens-Lyon,Monaco-Le Havre,Nice-Toulouse,Brest-Lille,Auxerre-Lorient,Angers-Paris FC,Metz-Strasbourg,Nantes-Paris SG
Paris SG-Angers,Marseille-Paris FC,Nice-Auxerre,Lyon-Metz,Lorient-Rennes,Strasbourg-Nantes,Toulouse-Brest,Le Havre-Lens,Lille-Monaco
Lens-Brest,Lorient-Lille,Nantes-Auxerre,Toulouse-Paris SG,Angers-Rennes,Paris FC-Metz,Monaco-Strasbourg,Le Havre-Nice,Lyon-Marseille
Marseille-Lorient,Nice-Nantes,Auxerre-Monaco,Lille-Toulouse,Paris SG-Lens,Metz-Angers,Brest-Paris FC,Strasbourg-Le Havre,Rennes-Lyon
x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x
