Liverpool-Bournemouth,Aston Villa-Newcastle,Brighton-Fulham,Sunderland-West Ham,Tottenham-Burnley,Wolves-Man City,Chelsea-Crystal Palace,Forest-Brentford,Man United-Arsenal,Leeds-Everton
West Ham-Chelsea,Man City-Tottenham,Bournemouth-Wolves,Burnley-Sunderland,Brentford-Aston Villa,Arsenal-Leeds,Crystal Palace-Forest,Everton-Brighton,Fulham-Man United,Newcastle-Liverpool
Chelsea-Fulham,Wolves-Everton,Tottenham-Bournemouth,Man United-Burnley,Sunderland-Brentford,Leeds-Newcastle,Brighton-Man City,Forest-West Ham,Liverpool-Arsenal,Aston Villa-Crystal Palace
Arsenal-Forest,Bournemouth-Brighton,Newcastle-Wolves,Everton-Aston Villa,Crystal Palace-Sunderland,Fulham-Leeds,West Ham-Tottenham,Brentford-Chelsea,Burnley-Liverpool,Man City-Man United
x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x
