Genoa-Lecce,Sassuolo-Napoli,Roma-Bologna,Milan-Cremonese,Cagliari-Fiorentina,Como-Lazio,Juventus-Parma,Atalanta-Pisa,Udinese-Verona,Inter-Torino
Cremonese-Sassuolo,Lecce-Milan,Bologna-Como,Parma-Atalanta,Napoli-Cagliari,Pisa-Roma,Torino-Fiorentina,Genoa-Juventus,Inter-Udinese,Lazio-Verona
Cagliari-Parma,Juventus-Inter,Fiorentina-Napoli,Roma-Torino,Atalanta-Lecce,Pisa-Udinese,Sassuolo-Lazio,Milan-Bologna,Verona-Cremonese,Como-Genoa
x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x
